Company,Parsed?,URL of policy,Email,Billing Info (Credit Card Number),Social Security Number,Ads and Marketing,Location,Collecting PII of Children,Sharing with Law Enforcement,Notice of Policy Change,Choice of Limiting Your Info,Aggregation
Slack,Y,https://slack.com/privacy-policy,2,2,3,1,1,3,1,2,3,2
Ello,Y,https://ello.co/wtf/post/privacy,2,3,3,3,3,3,2,2,3,2
CNN,Y,http://www.cnn.com/privacy.html,1,2,3,1,1,2,1,2,2,2
Lego,Y,http://aboutus.lego.com/en-us/legal-notice/privacy-policy-full,2,2,2,2,3,3,2,2,2,3
PNC,Y,https://www.pnc.com/en/privacy-policy.html,1,3,3,1,1,3,2,2,1,2
Hilton,Y,http://hhonors3.hilton.com/en/promotions/privacy-policy/english.html,1,2,3,1,1,3,1,2,2,2
Monster,Y,http://inside.monster.com/fullpolicy/inside2.aspx,2,2,3,2,2,3,1,2,3,2
National Weather,Y,http://www.weather.gov/privacy,2,3,3,3,3,3,1,0,0,0
Sony Music,Y,http://www.sonymusic.com/privacy-policy,1,2,3,1,1,3,1,2,3,0
EA,Y,http://tos.ea.com/legalapp/WEBPRIVACY/US/en/PC,1,2,3,2,2,3,1,2,2,2
BlackBerry,Y,http://us.blackberry.com/legal/privacy-policy.html,1,2,3,1,1,3,2,2,2,2
Dep of Justice,Y,http://www.justice.gov/doj/privacy-policy,2,3,3,3,3,3,1,0,0,2
Ziff Davis,Y,http://www.ziffdavis.com/privacy-policy,2,2,3,1,1,3,1,2,3,2
AdRoll,Y,https://www.adroll.com/about/privacy,2,2,2,1,2,3,2,0,2,2
UT Austin,Y,http://www.utexas.edu/cio/policies/web-privacy,2,2,3,3,3,0,1,2,2,2
Wikipedia,Y,http://wikimediafoundation.org/wiki/Privacy_policy,2,2,3,3,2,2,2,2,2,2
Microsoft,Y,http://www.microsoft.com/privacystatement/en-us/core/default.aspx,2,2,3,2,2,3,2,2,2,0
RoyalAirForce,Y,http://www.raf.mod.uk/universityairsquadrons/termsconditions.cfm,3,3,3,3,3,2,2,0,0,0
OwnPhones,delete,http://ownphones.com/Privacy.html,1,1,3,1,3,3,0,2,2,1
Twitter,Y,https://twitter.com/privacy,1,2,3,2,2,3,2,2,3,2
Wordpress,Y,https://wordpress.org/about/privacy/,2,3,3,3,3,2,2,2,0,2
Google,Y,http://www.google.com/policies/privacy/,2,2,3,2,2,2,1,2,3,2
SoundCloud,Y,https://soundcloud.com/pages/privacy,2,2,3,2,3,3,2,2,3,2
GitHub,Y,https://help.github.com/articles/github-privacy-policy/,2,2,3,3,3,2,1,2,0,2
TwitPic,delete,https://twitpic.com/privacy.do,2,3,3,1,1,3,1,2,0,2
Delicious,delete,https://delicious.com/privacy,2,3,3,2,2,3,1,2,2,2
Dell,Y,http://www.dell.com/learn/us/en/19/policies-privacy,2,2,2,2,3,3,1,2,2,2
Apple,Y,http://www.apple.com/privacy/privacy-policy/?cid=wwa-us-kwg-features-com,2,2,3,2,2,3,1,2,2,2
Walmart,Y,http://corporate.walmart.com/privacy-security/walmart-privacy-policy,2,2,3,1,2,3,2,2,2,0
Staples,Y,https://www.staples.com/sbd/content/help/policies/privacy_popup.html,1,2,2,1,3,3,2,2,1,2
500Pics,Y,https://500px.com/privacy,2,3,3,2,2,3,2,2,3,0
MyKolab,Y,https://mykolab.com/tos,2,2,3,3,3,2,2,3,0,0
IBM,Y,http://www.ibm.com/privacy/details/us/en/,2,2,3,2,3,2,2,3,2,0
Facebook,Y,https://www.facebook.com/note.php?note_id=%20322194465300,2,2,3,3,1,3,2,2,3,2
Yahoo,Y,http://info.yahoo.com/privacy/us/yahoo/,2,2,2,2,1,3,2,2,3,0
LinkedIn,Y,https://www.linkedin.com/legal/privacy-policy,1,2,3,1,2,3,2,2,3,2
AT&T,Y,http://www.att.com/gen/privacy-policy?pid=2506,2,2,3,2,2,3,1,2,3,2
Automattic,Y,http://automattic.com/privacy/,2,3,3,2,3,2,2,2,3,2
